;Libellé commune ou ARM;Région;Département;Hypermarché;Supermarché;Grande surface de bricolage;Supérette;Epicerie;Boulangerie;Boucherie charcuterie;Produits surgelés;Poissonnerie;Librairie papeterie journaux;Magasin de vêtements;Magasin d'équipements du foyer;Magasin de chaussures;Magasin d'électroménager et de matériel audio-vidéo;Magasin de meubles;Magasin d'articles de sports et de loisirs;Magasin de revêtements murs et sols;Droguerie quincaillerie bricolage;Parfumerie - Cosmétique;Horlogerie Bijouterie;Fleuriste - Jardinerie - Animalerie;Magasin d'optique;Magasin de matériel médical et orthopédique;Station service
0;LIBGEO;REG;DEP;NB_B101;NB_B102;NB_B103;NB_B201;NB_B202;NB_B203;NB_B204;NB_B205;NB_B206;NB_B301;NB_B302;NB_B303;NB_B304;NB_B305;NB_B306;NB_B307;NB_B308;NB_B309;NB_B310;NB_B311;NB_B312;NB_B313;NB_B315;NB_B316
1;L'Abergement-Clémenciat;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;L'Abergement-de-Varey;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Ambérieu-en-Bugey;84;01;0;6;3;1;6;9;9;1;0;3;33;8;5;5;6;7;0;2;5;3;6;8;3;3
4;Ambérieux-en-Dombes;84;01;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
5;Ambléon;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Ambronay;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
7;Ambutrix;84;01;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0
8;Andert-et-Condon;84;01;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
9;Anglefort;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10;Apremont;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Aranc;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Arandas;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Arbent;84;01;1;1;1;0;1;1;0;2;0;2;10;3;2;3;4;1;0;2;1;3;1;4;0;2
14;Arboys en Bugey;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Arbigny;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Argis;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;Armix;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;Ars-sur-Formans;84;01;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
19;Artemare;84;01;0;1;0;0;0;5;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1
20;Asnières-sur-Saône;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Attignat;84;01;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
22;Bâgé-Dommartin;84;01;0;1;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
23;Bâgé-le-Châtel;84;01;0;1;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
24;Balan;84;01;0;0;0;0;4;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
25;Baneins;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Beaupont;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;Beauregard;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;Bellignat;84;01;0;1;0;0;1;2;1;0;0;0;0;0;0;0;2;1;0;1;0;0;0;2;0;0
29;Béligneux;84;01;0;0;1;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
30;Valserhône;84;01;1;2;1;2;10;13;8;0;1;8;7;1;2;4;2;4;0;2;3;2;5;5;2;2
31;Belley;84;01;1;3;1;2;6;10;8;1;0;3;19;2;5;3;5;2;0;3;1;1;5;7;4;2
32;Belleydoux;84;01;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
33;Valromey-sur-Séran;84;01;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
34;Bénonces;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;Bény;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
36;Béon;84;01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
37;Béréziat;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;Bettant;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;Bey;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;Beynost;84;01;1;1;0;0;1;3;0;2;0;1;23;4;4;3;5;3;0;1;4;2;4;4;1;1
41;Billiat;84;01;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;Birieux;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;Biziat;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;Blyes;84;01;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;La Boisse;84;01;0;1;1;0;0;3;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;2
46;Boissey;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;Bolozon;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;Bouligneux;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;Bourg-en-Bresse;84;01;4;10;5;3;14;34;25;1;1;12;115;13;26;10;18;12;1;7;13;13;14;14;9;7
50;Bourg-Saint-Christophe;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;Boyeux-Saint-Jérôme;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;Boz;84;01;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;Brégnier-Cordon;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
54;Brénod;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;Brens;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;Bressolles;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
57;Brion;84;01;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;Briord;84;01;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
59;Buellas;84;01;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;La Burbanche;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;Ceignes;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
62;Cerdon;84;01;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;Certines;84;01;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
64;Cessy;84;01;0;2;1;1;0;1;0;0;0;1;0;1;0;1;8;0;0;0;0;0;1;0;0;0
65;Ceyzériat;84;01;0;0;0;1;0;2;1;0;0;1;3;0;0;1;0;0;0;0;0;0;0;1;0;2
66;Ceyzérieu;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
67;Chalamont;84;01;0;1;1;1;0;2;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;2;0;2
68;Chaleins;84;01;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69;Chaley;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;Challes-la-Montagne;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;Challex;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;Champagne-en-Valromey;84;01;0;0;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
73;Champdor-Corcelles;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
74;Champfromier;84;01;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;Chanay;84;01;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;Chaneins;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Chanoz-Châtenay;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;La Chapelle-du-Châtelard;84;01;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;Charix;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;Charnoz-sur-Ain;84;01;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
81;Château-Gaillard;84;01;0;0;0;0;0;1;0;0;0;1;0;2;0;0;1;1;0;0;0;0;0;0;1;2
82;Châtenay;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
83;Châtillon-la-Palud;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
84;Châtillon-sur-Chalaronne;84;01;0;1;1;1;1;5;4;0;0;0;5;1;2;1;2;0;0;0;0;1;4;2;3;3
85;Chavannes-sur-Reyssouze;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;Nivigne et Suran;84;01;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
87;Chaveyriat;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;Chazey-Bons;84;01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
89;Chazey-sur-Ain;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;Cheignieu-la-Balme;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;Chevillard;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;Chevroux;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;Chevry;84;01;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
94;Chézery-Forens;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;Civrieux;84;01;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;Cize;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;Cleyzieu;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;Coligny;84;01;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
99;Collonges;84;01;0;0;0;0;1;2;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
100;Colomieu;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;Conand;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;Condamine;84;01;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;Condeissiat;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;Confort;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;Confrançon;84;01;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
106;Contrevoz;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;Conzieu;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;Corbonod;84;01;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;Corlier;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;Cormoranche-sur-Saône;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;Cormoz;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;Corveissiat;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;Courmangoux;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;Courtes;84;01;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
115;Crans;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;Bresse Vallons;84;01;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;Cressin-Rochefort;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;Crottet;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
119;Crozet;84;01;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
120;Cruzilles-lès-Mépillat;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;Culoz;84;01;0;1;0;0;0;2;2;0;0;1;1;0;0;2;0;0;0;1;0;0;2;1;0;1
122;Curciat-Dongalon;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;Curtafond;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;Cuzieu;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;Dagneux;84;01;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;2;0;0;2
126;Divonne-les-Bains;84;01;0;2;0;1;3;4;4;0;0;2;20;5;1;3;2;0;0;0;1;0;2;2;3;1
127;Dompierre-sur-Veyle;84;01;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;Dompierre-sur-Chalaronne;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;Domsure;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;Dortan;84;01;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1
131;Douvres;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
132;Drom;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;Druillat;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
134;Échallon;84;01;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;Échenevex;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
136;Évosges;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;Faramans;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;Fareins;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;Farges;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;Feillens;84;01;0;1;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;3;0;0;1
141;Ferney-Voltaire;84;01;2;4;0;1;2;5;6;1;0;6;20;2;3;0;5;4;0;0;3;2;2;7;1;2
142;Flaxieu;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;Foissiat;84;01;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;Francheleins;84;01;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;Frans;84;01;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
146;Garnerans;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;Genouilleux;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
148;Béard-Géovreissiat;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;Géovreisset;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;Gex;84;01;1;2;2;1;0;6;2;0;0;2;7;1;1;3;4;0;0;0;2;1;4;1;1;3
151;Giron;84;01;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;Gorrevod;84;01;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
153;Grand-Corent;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;Grièges;84;01;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
155;Grilly;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
156;Groissiat;84;01;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
157;Guéreins;84;01;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0
158;Hautecourt-Romanèche;84;01;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;Plateau d'Hauteville;84;01;0;2;0;0;1;4;3;0;0;2;2;0;1;1;0;1;1;1;0;0;2;2;0;1
160;Haut Valromey;84;01;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
161;Illiat;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162;Injoux-Génissiat;84;01;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;Innimond;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164;Izenave;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
165;Izernore;84;01;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
166;Izieu;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167;Jassans-Riottier;84;01;0;2;0;1;0;4;2;0;0;0;1;0;0;0;1;0;0;0;0;1;2;2;1;1
168;Jasseron;84;01;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
169;Jayat;84;01;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1
170;Journans;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;Joyeux;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172;Jujurieux;84;01;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
173;Labalme;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
174;Lagnieu;84;01;0;3;1;0;0;2;4;0;0;3;5;2;0;1;0;1;0;0;1;0;5;2;0;1
175;Laiz;84;01;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
176;Le Poizat-Lalleyriat;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
177;Lantenay;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
178;Lapeyrouse;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;Lavours;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;Léaz;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
181;Lélex;84;01;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;4;0;0;0;0;0;0;0;0
182;Lent;84;01;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;Lescheroux;84;01;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;Leyment;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185;Leyssard;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
186;Surjoux-Lhopital;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;Lhuis;84;01;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
188;Lompnas;84;01;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
189;Loyettes;84;01;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1
190;Lurcy;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;Magnieu;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192;Maillat;84;01;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
193;Malafretaz;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
194;Mantenay-Montlin;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
195;Manziat;84;01;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
196;Marboz;84;01;0;0;0;1;1;3;1;0;0;0;1;0;0;0;2;1;0;0;0;0;1;1;0;0
197;Marchamp;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
198;Marignieu;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199;Marlieux;84;01;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;Marsonnas;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
201;Martignat;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
202;Massieux;84;01;0;2;1;0;0;1;1;0;0;0;1;1;0;0;3;0;0;0;0;0;1;1;2;1
203;Massignieu-de-Rives;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
204;Matafelon-Granges;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
205;Meillonnas;84;01;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
206;Mérignat;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207;Messimy-sur-Saône;84;01;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
208;Meximieux;84;01;0;4;1;0;2;7;6;0;0;3;17;1;3;1;2;3;1;1;2;2;4;5;2;2
209;Bohas-Meyriat-Rignat;84;01;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210;Mézériat;84;01;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
211;Mijoux;84;01;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
212;Mionnay;84;01;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3
213;Miribel;84;01;0;3;0;2;7;6;4;0;0;1;1;0;0;0;0;2;0;1;4;1;4;3;5;2
214;Misérieux;84;01;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
215;Mogneneins;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;Montagnat;84;01;0;0;0;0;1;2;1;0;0;0;1;0;0;0;1;1;0;2;0;1;2;0;0;0
217;Montagnieu;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
218;Montanges;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219;Montceaux;84;01;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
220;Montcet;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221;Le Montellier;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
