Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
DÉCEMBRE 2016;12223;Argences en Aubrac;12112;Graissac;12223;12420;ARGENCES EN AUBRAC;GRAISSAC;12112;12112;12420;GRAISSAC;;
FÉVRIER 2016;12224;Saint Geniez d'Olt et d'Aubrac;12014;Aurelle-Verlac;12224;12130;ST GENIEZ D OLT ET D AUBRAC;AURELLE VERLAC;12014;12014;12130;AURELLE VERLAC;;
DÉCEMBRE 2016;14005;Valambray;14074;Billy;14005;14370;VALAMBRAY;BILLY;14074;14074;14370;BILLY;;
FÉVRIER 2016;14014;Colomby-Anguerny;14014;Anguerny;14014;14610;COLOMBY ANGUERNY;ANGUERNY;;14014;14610;ANGUERNY;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14056;Bauquay;14027;14260;LES MONTS D AUNAY;BAUQUAY;14056;14056;14260;BAUQUAY;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14128;Campandré-Valcongrain;14027;14260;LES MONTS D AUNAY;CAMPANDRE VALCONGRAIN;14128;14128;14260;CAMPANDRE VALCONGRAIN;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14477;Ondefontaine;14027;14260;LES MONTS D AUNAY;ONDEFONTAINE;14477;14477;14260;ONDEFONTAINE;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14544;Roucamps;14027;14260;LES MONTS D AUNAY;ROUCAMPS;14544;14544;14260;ROUCAMPS;;
FÉVRIER 2016;14035;Balleroy-sur-Drôme;14035;Balleroy;14035;14490;BALLEROY SUR DROME;BALLEROY;;14035;14490;BALLEROY;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14052;Beaulieu;14061;14350;SOULEUVRE EN BOCAGE;BEAULIEU;14052;14052;14350;BEAULIEU;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14264;Ferrière-Harang (La);14061;14350;SOULEUVRE EN BOCAGE;LA FERRIERE HARANG;14264;14264;14350;LA FERRIERE HARANG;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14395;Malloué;14061;14350;SOULEUVRE EN BOCAGE;MALLOUE;14395;14395;14350;MALLOUE;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14440;Montamy;14061;14260;SOULEUVRE EN BOCAGE;MONTAMY;14440;14440;14260;MONTAMY;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14629;Saint-Martin-des-Besaces;14061;14350;SOULEUVRE EN BOCAGE;LA FERRIERE AU DOYEN;14262;14629;14350;ST MARTIN DES BESACES;LA FERRIERE AU DOYEN;14262
DÉCEMBRE 2018;14126;Cambremer;14126;Cambremer;14126;14340;CAMBREMER;ST AUBIN SUR ALGOT;14561;14126;14340;CAMBREMER;ST AUBIN SUR ALGOT;14561
DÉCEMBRE 2018;14126;Cambremer;14126;Cambremer;14126;14340;CAMBREMER;;;14126;14340;CAMBREMER;;
DÉCEMBRE 2016;14143;Caumont-sur-Aure;14722;La Vacquerie;14143;14240;CAUMONT SUR AURE;LA VACQUERIE;14722;14722;14240;LA VACQUERIE;;
DÉCEMBRE 2018;14150;Cesny-les-Sources;14013;Angoville;14150;14220;CESNY LES SOURCES;ANGOVILLE;14013;14013;14220;ANGOVILLE;;
DÉCEMBRE 2018;14150;Cesny-les-Sources;14150;Cesny-Bois-Halbout;14150;14220;CESNY LES SOURCES;CESNY BOIS HALBOUT;;14150;14220;CESNY BOIS HALBOUT;;
DÉCEMBRE 2018;14150;Cesny-les-Sources;14703;Tournebu;14150;14220;CESNY LES SOURCES;TOURNEBU;14703;14703;14220;TOURNEBU;;
DÉCEMBRE 2016;14172;Saline;14172;Troarn;14172;14670;SALINE;TROARN;;14712;14670;TROARN;;
FÉVRIER 2016;14174;Condé-en-Normandie;14653;Saint-Pierre-la-Vieille;14174;14770;CONDE EN NORMANDIE;ST PIERRE LA VIEILLE;14653;14653;14770;ST PIERRE LA VIEILLE;;
DÉCEMBRE 2016;14200;Creully sur Seulles;14577;Saint-Gabriel-Brécy;14200;14480;CREULLY SUR SEULLES;ST GABRIEL BRECY;14577;14577;14480;ST GABRIEL BRECY;;
DÉCEMBRE 2016;14281;Formigny La Bataille;14004;Aignerville;14281;14710;FORMIGNY LA BATAILLE;AIGNERVILLE;14004;14004;14710;AIGNERVILLE;;
DÉCEMBRE 2016;14342;Isigny-sur-Mer;14462;Neuilly-la-Forêt;14342;14230;ISIGNY SUR MER;NEUILLY LA FORET;14462;14462;14230;NEUILLY LA FORET;;
DÉCEMBRE 2016;14347;Dialan sur Chaîne;14347;Jurques;14347;14260;DIALAN SUR CHAINE;JURQUES;;14347;14260;JURQUES;;
DÉCEMBRE 2016;14355;Ponts sur Seulles;14008;Amblie;14355;14480;PONTS SUR SEULLES;AMBLIE;14008;14008;14480;AMBLIE;;
OCTOBRE 2017;14357;Terres de Druance;14357;Lassy;14357;14770;TERRES DE DRUANCE;LASSY;;14357;14770;LASSY;;
OCTOBRE 2017;14357;Terres de Druance;14662;Saint-Vigor-des-Mézerets;14357;14770;TERRES DE DRUANCE;ST VIGOR DES MEZERETS;14662;14662;14770;ST VIGOR DES MEZERETS;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14148;Cerqueux;14371;14290;LIVAROT PAYS D AUGE;CERQUEUX;14148;14148;14290;CERQUEUX;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14210;Croupte (La);14371;14140;LIVAROT PAYS D AUGE;LA CROUPTE;14210;14210;14140;LA CROUPTE;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14418;Mesnil-Durand (Le);14371;14140;LIVAROT PAYS D AUGE;LE MESNIL DURAND;14418;14418;14140;LE MESNIL DURAND;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14429;Meulles;14371;14290;LIVAROT PAYS D AUGE;MEULLES;14429;14429;14290;MEULLES;;
DÉCEMBRE 2016;14406;Moulins en Bessin;14212;Cully;14406;14480;MOULINS EN BESSIN;CULLY;14212;14212;14480;CULLY;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14422;Mesnil-Mauger (Le);14431;14270;MEZIDON VALLEE D AUGE;ST CRESPIN;14567;14422;14270;LE MESNIL MAUGER;ST CRESPIN;14567
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14422;Mesnil-Mauger (Le);14431;14270;MEZIDON VALLEE D AUGE;LE MESNIL MAUGER;14422;14422;14270;LE MESNIL MAUGER;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14431;Mézidon-Canon;14431;14270;MEZIDON VALLEE D AUGE;CANON;14133;14431;14270;MEZIDON CANON;CANON;14133
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14431;Mézidon-Canon;14431;14270;MEZIDON VALLEE D AUGE;MEZIDON CANON;;14431;14270;MEZIDON CANON;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14444;Monteille;14431;14270;MEZIDON VALLEE D AUGE;MONTEILLE;14444;14444;14270;MONTEILLE;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14493;Percy-en-Auge;14431;14270;MEZIDON VALLEE D AUGE;PERCY EN AUGE;14493;14493;14270;PERCY EN AUGE;;
DÉCEMBRE 2016;14475;Val d’Arry;14702;Tournay-sur-Odon;14475;14310;VAL D ARRY;TOURNAY SUR ODON;14702;14702;14310;TOURNAY SUR ODON;;
JUILLET 2019;14514;Pont-l'Évêque;14514;Pont-l'Évêque;14514;14130;PONT L EVEQUE;;;14514;14130;PONT L EVEQUE;;
DÉCEMBRE 2016;14527;Belle Vie en Auge;14527;Biéville-Quétiéville;14527;14270;BELLE VIE EN AUGE;QUETIEVILLE;;14527;14270;BIEVILLE QUETIEVILLE;QUETIEVILLE;
DÉCEMBRE 2016;14527;Belle Vie en Auge;14527;Biéville-Quétiéville;14527;14270;BELLE VIE EN AUGE;BIEVILLE QUETIEVILLE;;14527;14270;BIEVILLE QUETIEVILLE;;
DÉCEMBRE 2016;14527;Belle Vie en Auge;14608;Saint-Loup-de-Fribois;14527;14340;BELLE VIE EN AUGE;ST LOUP DE FRIBOIS;14608;14608;14340;ST LOUP DE FRIBOIS;;
DÉCEMBRE 2018;14554;Castelet (Le);14554;Saint-Aignan-de-Cramesnil;14554;14540;LE CASTELET;ST AIGNAN DE CRAMESNIL;;14554;14540;ST AIGNAN DE CRAMESNIL;;
FÉVRIER 2016;14570;Valorbiquet;14599;Saint-Julien-de-Mailloc;14570;14290;VALORBIQUET;ST JULIEN DE MAILLOC;14599;14599;14290;ST JULIEN DE MAILLOC;;
FÉVRIER 2016;14576;Val-de-Vie;14576;Sainte-Foy-de-Montgommery;14576;14140;VAL DE VIE;STE FOY DE MONTGOMMERY;;14576;14140;STE FOY DE MONTGOMMERY;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14081;Boissey;14654;14170;ST PIERRE EN AUGE;BOISSEY;14081;14081;14170;BOISSEY;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14099;Bretteville-sur-Dives;14654;14170;ST PIERRE EN AUGE;BRETTEVILLE SUR DIVES;14099;14099;14170;BRETTEVILLE SUR DIVES;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14331;Hiéville;14654;14170;ST PIERRE EN AUGE;HIEVILLE;14331;14331;14170;HIEVILLE;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14433;Mittois;14654;14170;ST PIERRE EN AUGE;MITTOIS;14433;14433;14170;MITTOIS;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14472;Oudon (L');14654;14170;ST PIERRE EN AUGE;GRANDMESNIL;14314;14472;14170;L OUDON;GRANDMESNIL;14314
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14472;Oudon (L');;;ST PIERRE EN AUGE;TOTES;;14472;14170;L OUDON;TOTES;14697
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14489;Ouville-la-Bien-Tournée;;;ST PIERRE EN AUGE;OUVILLE LA BIEN TOURNEE;;;;OUVILLE LA BIEN TOURNEE;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14616;Sainte-Marguerite-de-Viette;;;ST PIERRE EN AUGE;STE MARGUERITE DE VIETTE;;;;STE MARGUERITE DE VIETTE;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14654;Saint-Pierre-sur-Dives;;;ST PIERRE EN AUGE;ST PIERRE SUR DIVES;;;;ST PIERRE SUR DIVES;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14750;Vieux-Pont-en-Auge;;;ST PIERRE EN AUGE;VIEUX PONT EN AUGE;;;;VIEUX PONT EN AUGE;;
OCTOBRE 2017;14658;Noues de Sienne;14296;Gast (Le);;;NOUES DE SIENNE;LE GAST;;;;LE GAST;;
OCTOBRE 2017;14658;Noues de Sienne;14417;Mesnil-Clinchamps;;;NOUES DE SIENNE;MESNIL CLINCHAMPS;;;;MESNIL CLINCHAMPS;;
DÉCEMBRE 2016;14672;Val de Drôme;14217;Dampierre;;;VAL DE DROME;DAMPIERRE;;;;DAMPIERRE;;
DÉCEMBRE 2016;14672;Val de Drôme;14672;Sept-Vents;;;VAL DE DROME;SEPT VENTS;;;;SEPT VENTS;;
FÉVRIER 2016;14689;Hom (Le);14213;Curcy-sur-Orne;;;LE HOM;CURCY SUR ORNE;;;;CURCY SUR ORNE;;
FÉVRIER 2016;14689;Hom (Le);14628;Saint-Martin-de-Sallen;;;LE HOM;ST MARTIN DE SALLEN;;;;ST MARTIN DE SALLEN;;
FÉVRIER 2016;14726;Valdalliere;14222;Désert (Le);;;VALDALLIERE;LE DESERT;;;;LE DESERT;;
FÉVRIER 2016;14726;Valdalliere;14503;Pierres;;;VALDALLIERE;PIERRES;;;;PIERRES;;
FÉVRIER 2016;14726;Valdalliere;14564;Saint-Charles-de-Percy;;;VALDALLIERE;ST CHARLES DE PERCY;;;;ST CHARLES DE PERCY;;
FÉVRIER 2016;14762;Vire Normandie;14388;Maisoncelles-la-Jourdan;;;VIRE NORMANDIE;MAISONCELLES LA JOURDAN;;;;MAISONCELLES LA JOURDAN;;
FÉVRIER 2016;14762;Vire Normandie;14717;Truttemer-le-Grand;;;VIRE NORMANDIE;TRUTTEMER LE GRAND;;;;TRUTTEMER LE GRAND;;
OCTOBRE 2017;15138;Murat;15138;Murat;;;MURAT;;;;;MURAT;;
DÉCEMBRE 2016;15141;Neussargues en Pinatelle;15031;Celles;;;NEUSSARGUES EN PINATELLE;CELLES;;;;CELLES;;
DÉCEMBRE 2016;15141;Neussargues en Pinatelle;15141;Neussargues-Moissac;;;NEUSSARGUES EN PINATELLE;NEUSSARGUES MOISSAC;;;;NEUSSARGUES MOISSAC;;
DÉCEMBRE 2016;15142;Neuvéglise-sur-Truyère;15142;Neuvéglise;;;NEUVEGLISE SUR TRUYERE;NEUVEGLISE;;;;NEUVEGLISE;;
FÉVRIER 2016;15181;Saint-Constant-Fournoulès;15181;Saint-Constant;;;ST CONSTANT FOURNOULES;ST CONSTANT;;;;ST CONSTANT;;
DÉCEMBRE 2016;16046;Côteaux du Blanzacais *;16115;Cressac-saint-genis;;;COTEAUX DU BLANZACAIS;ST GENIS DE BLANZAC;;;;CRESSAC ST GENIS;ST GENIS DE BLANZAC;
DÉCEMBRE 2018;16046;Coteaux-du-Blanzacais;16046;Côteaux du Blanzacais;;;COTEAUX DU BLANZACAIS;BLANZAC PORCHERESSE;;;;COTEAUX DU BLANZACAIS;BLANZAC PORCHERESSE;
DÉCEMBRE 2018;16046;Coteaux-du-Blanzacais;16046;Côteaux du Blanzacais;;;COTEAUX DU BLANZACAIS;CRESSAC ST GENIS;;;;COTEAUX DU BLANZACAIS;CRESSAC ST GENIS;
FÉVRIER 2016;16106;Confolens;16322;Saint-Germain-de-Confolens;;;CONFOLENS;ST GERMAIN DE CONFOLENS;;;;ST GERMAIN DE CONFOLENS;;
DÉCEMBRE 2016;16175;Val des Vignes;16175;Jurignac;;;VAL DES VIGNES;JURIGNAC;;;;JURIGNAC;;
DÉCEMBRE 2018;16192;Terres-de-Haute-Charente;16376;Suris;;;TERRES DE HAUTE CHARENTE;SURIS;;;;SURIS;;
DÉCEMBRE 2016;16230;Montmoreau;16230;Montmoreau-Saint-Cybard;;;MONTMOREAU;MONTMOREAU ST CYBARD;;;;MONTMOREAU ST CYBARD;;
DÉCEMBRE 2016;16230;Montmoreau;16328;Saint-Laurent-de-Belzagot;;;MONTMOREAU;ST LAURENT DE BELZAGOT;;;;ST LAURENT DE BELZAGOT;;
FÉVRIER 2016;16286;Rouillac *;16262;Plaizac;;;ROUILLAC;PLAIZAC;;;;PLAIZAC;;
FÉVRIER 2016;16286;Rouillac *;16286;Rouillac;;;ROUILLAC;;;;;ROUILLAC;;
OCTOBRE 2019;16286;Rouillac;16286;Rouillac;;;ROUILLAC;;;;;ROUILLAC;;
OCTOBRE 2019;16339;Val-d'Auge;16051;Bonneville;;;VAL D AUGE;BONNEVILLE;;;;BONNEVILLE;;
OCTOBRE 2019;16339;Val-d'Auge;16339;Auge-Saint-Médard;;;VAL D AUGE;AUGE ST MEDARD;;;;AUGE ST MEDARD;;
JANVIER 2016;17295;Réaux sur Trèfle;17295;Réaux;;;REAUX SUR TREFLE;REAUX;;;;REAUX;;
SEPTEMBRE 2018;17340;Saint-Pierre-la-Noue;17272;Péré;;;ST PIERRE LA NOUE;PERE;;;;PERE;;
DÉCEMBRE 2018;18073;Corquoy;18073;Corquoy;;;CORQUOY;;;;;CORQUOY;;
OCTOBRE 2019;21178;Valforêt;21513;Quemigny-Poisot;;;VALFORET;QUEMIGNY POISOT;;;;QUEMIGNY POISOT;;
DÉCEMBRE 2016;21195;Cormot-Vauchignon;21195;Cormot-le-Grand;;;CORMOT VAUCHIGNON;CORMOT LE GRAND;;;;CORMOT LE GRAND;;
JUILLET 2019;21623;Tart;21621;Tart-l'Abbaye;;;TART;TART L ABBAYE;;;;TART L ABBAYE;;
JUILLET 2019;21623;Tart;21623;Tart-le-Haut;;;TART;TART LE HAUT;;;;TART LE HAUT;;
DÉCEMBRE 2016;22046;Mené (Le);22292;Saint-Gilles-du-Mené;;;LE MENE;ST GILLES DU MENE;;;;ST GILLES DU MENE;;
DÉCEMBRE 2016;22046;Mené (Le);22297;Saint-Gouéno;;;LE MENE;ST GOUENO;;;;ST GOUENO;;
DÉCEMBRE 2016;22046;Mené (Le);22303;Saint-Jacut-du-Mené;;;LE MENE;ST JACUT DU MENE;;;;ST JACUT DU MENE;;
FÉVRIER 2016;22084;Jugon-les-Lacs - Commune nouvelle;22051;Dolo;;;JUGON LES LACS COMMUNE NOUVELLE;DOLO;;;;DOLO;;
DÉCEMBRE 2018;22093;Lamballe-Armor;22093;Lamballe;;;LAMBALLE ARMOR;MAROUE;;;;LAMBALLE;MAROUE;
DÉCEMBRE 2018;22093;Lamballe-Armor;22093;Lamballe;;;LAMBALLE ARMOR;MESLIN;;;;LAMBALLE;MESLIN;
DÉCEMBRE 2018;22093;Lamballe-Armor;22093;Lamballe;;;LAMBALLE ARMOR;TREGOMAR;;;;LAMBALLE;TREGOMAR;
DÉCEMBRE 2018;22093;Lamballe-Armor;22093;Lamballe;;;LAMBALLE ARMOR;LAMBALLE;;;;LAMBALLE;;
DÉCEMBRE 2018;22093;Lamballe-Armor;22173;Planguenoual;;;LAMBALLE ARMOR;PLANGUENOUAL;;;;PLANGUENOUAL;;
DÉCEMBRE 2016;22107;Bon Repos sur Blavet;22290;Saint-Gelven;;;BON REPOS SUR BLAVET;ST GELVEN;;;;ST GELVEN;;
DÉCEMBRE 2016;22158;Guerlédan;22298;Saint-Guen;;;GUERLEDAN;ST GUEN;;;;ST GUEN;;
DÉCEMBRE 2016;22183;Moulins (Les) *;22183;Plémet;;;LES MOULINS;PLEMET;;;;PLEMET;;
OCTOBRE 2018;22183;Plémet;22058;Ferrière (La);;;PLEMET;LA FERRIERE;;;;LA FERRIERE;;
FÉVRIER 2016;22203;Ploeuc-L'Hermitage;22080;Hermitage-Lorge (L');;;PLOEUC L HERMITAGE;L HERMITAGE LORGE;;;;L HERMITAGE LORGE;;
FÉVRIER 2016;22251;Pordic;22251;Pordic;;;PORDIC;;;;;PORDIC;;
FÉVRIER 2016;22251;Pordic;22367;Tréméloir;;;PORDIC;TREMELOIR;;;;TREMELOIR;;
FÉVRIER 2016;23149;Parsac-Rimondeix;23149;Parsac;;;PARSAC RIMONDEIX;PARSAC;;;;PARSAC;;
DÉCEMBRE 2016;24026;Bassillac et Auberoche;24166;Eyliac;;;BASSILLAC ET AUBEROCHE;EYLIAC;;;;EYLIAC;;
FÉVRIER 2016;24028;Beaumontois en Périgord;24219;Labouquerie;;;BEAUMONTOIS EN PERIGORD;LABOUQUERIE;;;;LABOUQUERIE;;
